BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SteamUse(kBtu)
NonResidential,Hotel,-0.8495639645972158,1.1797273546400566,DOWNTOWN,-0.08791665087009513,-0.19139966767016794,-1.046321224597996,-0.0857120169740317,1.3869835092551908,-0.09312553108790056,-0.32871278422429956,-0.0047150442499382895,Hotel,Hotel,0.048366489753738084,Unknown,0.0,Unknown,-1.2862010488590543e-16,Unknown,-0.13686166503314226,84.30000305,0.6381244468283848
NonResidential,Hotel,-0.8495639645972158,1.1797273546400566,DOWNTOWN,-0.06723640332652604,-0.01676077077503028,1.055312578279235,-0.0857120169740317,1.2131677460866033,0.0145516947965215,0.06704439047454802,-0.0041574339162730335,"Hotel, Parking, Restaurant",Hotel,0.008997869495943252,Parking,-0.4074337858780571,Restaurant,-0.5479588711158102,Unknown,-0.09356054886171092,97.90000153,-0.1272217167147576
NonResidential,Hotel,-0.8495639645972158,1.1797273546400566,DOWNTOWN,-0.05103332277670218,-0.19613126339851067,0.23293413367510107,-0.0857120169740317,6.427640641144225,6.081137266063288,4.839407229876066,5.497242518329076,Hotel,Hotel,5.823632427567124,Unknown,0.0,Unknown,-1.2862010488590543e-16,Unknown,-0.8729806399474751,97.69999695,8.10973004229401
NonResidential,Hotel,-0.8495639645972158,1.1797273546400566,DOWNTOWN,-0.04698255263935983,-0.13333008372724864,-1.0767796855092602,-0.0857120169740317,1.039351982918016,-0.2860650171195038,-0.32871278422429956,-0.2270539646469935,Hotel,Hotel,-0.18602981452159112,Unknown,0.0,Unknown,-1.2862010488590543e-16,Unknown,-0.31006612971886766,113.3000031,0.7185456197900856
NonResidential,Hotel,0.23614998337900273,1.1797273546400566,DOWNTOWN,-0.054870894485843084,-0.2980756440980986,0.5679772036990074,-0.0857120169740317,2.429878088266715,0.5269933908605428,1.3001337924703733,0.20148597707868718,"Hotel, Parking, Swimming Pool",Hotel,0.351031128279354,Parking,0.8591038338020734,Swimming Pool,-0.8747788754675663,Unknown,0.512655077538328,118.6999969,-0.1272217167147576
Nonresidential COS,Other,-0.8495639645972158,1.1797273546400566,DOWNTOWN,-0.001997684271130692,-0.1303190682632021,1.1466879610130276,-0.0857120169740317,-0.351174122430683,-0.030121687710906578,0.6485426183545463,-0.23714015156476212,Police Station,Police Station,0.05178984803702459,Unknown,0.0,Unknown,-1.2862010488590543e-16,Unknown,0.0,141.6000061,-0.1272217167147576
NonResidential,Hotel,-0.8495639645972158,1.1797273546400566,DOWNTOWN,-0.051672918061609494,0.03055518651145328,-1.0767796855092602,-0.0857120169740317,1.2131677460866033,-0.13173619905306538,-0.32871278422429956,-0.04920906881563947,Hotel,Hotel,-0.012856296514532229,Unknown,0.0,Unknown,-1.2862010488590543e-16,Unknown,-1.5657984986903766,74.5,-0.1272217167147576
NonResidential,Other,-0.8495639645972158,1.1797273546400566,DOWNTOWN,-0.06510441904360266,0.09378651124909501,-1.0767796855092602,-0.0857120169740317,0.6917204565808412,0.008823425774782156,-0.32871278422429956,0.11276853296215178,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,0.172221171886682,Unknown,0.0,Unknown,-1.2862010488590543e-16,Unknown,0.0,68.80000305,0.7421643748315745
NonResidential,Hotel,-0.6867068724007831,1.1797273546400566,DOWNTOWN,-0.2853383954623472,0.03915808783660189,-1.7468658255570728,-0.0857120169740317,1.9084307987609528,0.444477853498941,-0.32871278422429956,0.6148064367560926,Hotel,Hotel,0.7014844652645856,Unknown,0.0,Unknown,-1.2862010488590543e-16,Unknown,-0.8729806399474751,86.59999847,-0.1272217167147576
NonResidential,Hotel,-0.8495639645972158,1.1797273546400566,DOWNTOWN,-0.19984582571993714,-0.02579381716655858,0.23293413367510107,-0.0857120169740317,1.2131677460866033,0.36747710929491434,0.17777968597080682,0.3679818625895601,Hotel,Hotel,0.4412746563582122,Unknown,0.0,Unknown,-1.2862010488590543e-16,Unknown,-1.4358951501760826,124.3000031,1.8730180794735922
NonResidential,Hotel,-0.8495639645972158,1.1797273546400566,DOWNTOWN,-0.19600825401079625,0.013349383861767325,1.1162295001017633,-0.0857120169740317,3.6465884304468266,1.6484248004879138,1.2780918202470373,1.5006770537589056,Hotel,Hotel,2.194068676777503,Unknown,0.0,Unknown,-1.2862010488590543e-16,Unknown,-1.1760884531474944,80.40000153,2.164124551372519
NonResidential,Hotel,-0.6867068724007831,1.1797273546400566,DOWNTOWN,-0.1989930320066769,0.0034560473380909275,-1.0158627636867317,-0.0857120169740317,0.8655362197494286,-0.2598146016894461,-0.32871278422429956,-0.19680360404565336,Hotel,Hotel,-0.15413898445329838,Unknown,0.0,Unknown,-1.2862010488590543e-16,Unknown,-0.6564750590903184,97.80000305,0.5053918959381295
NonResidential,Hotel,-0.8495639645972158,1.1797273546400566,DOWNTOWN,-0.1755412048954286,0.061095486214630575,0.5679772036990074,-0.0857120169740317,5.037114535795526,1.5258611910091082,1.1845382289630093,1.3886383774520175,"Hotel, Parking",Hotel,1.8385148817439403,Parking,0.6101022267900709,Unknown,-1.2862010488590543e-16,Unknown,-0.22346389737600494,76.19999695,1.5294983493512007
